t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,mx_uT,my_uT,mz_uT
383.473,-0.172058,-0.019165,-0.990723,-2.305344,1.015267,-0.992366,103.650002,94.350006,-70.650002
383.478,-0.173035,-0.019775,-0.985779,-2.29771,1.076336,-0.832061,0,0,0
383.483,-0.173401,-0.020142,-0.984924,-2.320611,1.290076,-0.801527,104.550003,94.050003,-69.75
383.488,-0.170593,-0.020813,-0.99115,-2.312977,1.358779,-0.80916,0,0,0
383.493,-0.169983,-0.02002,-0.990356,-2.358779,1.572519,-0.89313,104.550003,93.75,-70.950005
383.498,-0.168213,-0.020996,-0.991699,-2.320611,1.687023,-0.89313,0,0,0
383.503,-0.169373,-0.02124,-0.989441,-2.320611,1.648855,-0.992366,105.300003,93,-72
383.508,-0.166931,-0.020264,-0.993286,-2.282443,1.480916,-0.961832,0,0,0
383.513,-0.166016,-0.019958,-0.992126,-2.290076,1.381679,-0.923664,104.250008,94.650002,-70.050003
383.518,-0.164856,-0.021851,-0.991333,-2.312977,1.374046,-0.961832,0,0,0
383.523,-0.167847,-0.02002,-0.991455,-2.29771,1.175573,-0.923664,105.150002,94.050003,-70.050003
383.528,-0.169128,-0.019836,-0.991028,-2.251908,1.053435,-1.030534,0,0,0
383.533,-0.168701,-0.019958,-0.990051,-2.274809,1.122137,-0.931298,105.000008,94.5,-70.800003
383.538,-0.170959,-0.020447,-0.992249,-2.19084,1.091603,-0.938931,0,0,0
383.543,-0.172485,-0.019531,-0.98822,-2.198473,1.221374,-0.992366,104.700005,93,-69.600006
383.548,-0.171143,-0.019958,-0.988037,-2.183206,1.381679,-1.045802,0,0,0
383.553,-0.168945,-0.020447,-0.992004,-2.259542,1.458015,-0.954198,104.100006,93.600006,-70.800003
383.558,-0.1698,-0.020996,-0.992798,-2.282443,1.59542,-0.923664,0,0,0
383.563,-0.167419,-0.020996,-0.99353,-2.282443,1.51145,-0.923664,104.100006,94.200005,-69.600006
383.568,-0.16748,-0.021118,-0.992126,-2.29771,1.503817,-0.969466,0,0,0
383.573,-0.167114,-0.02301,-0.996155,-2.244275,1.389313,-0.938931,105.150002,94.350006,-70.350006
383.579,-0.16748,-0.01947,-0.991821,-2.305344,1.389313,-1,0,0,0
383.584,-0.167114,-0.021057,-0.989624,-2.305344,1.229008,-0.916031,103.800003,94.200005,-69.900002
383.588,-0.166809,-0.020386,-0.992493,-2.374046,1.160305,-0.908397,0,0,0
383.594,-0.169312,-0.021729,-0.990845,-2.358779,1.160305,-0.908397,104.550003,93.450005,-70.950005
383.598,-0.170349,-0.021301,-0.992493,-2.328244,1.152672,-0.80916,0,0,0
383.603,-0.168884,-0.01947,-0.989563,-2.343511,1.160305,-0.908397,105.150002,94.350006,-70.950005
383.608,-0.169678,-0.019897,-0.989014,-2.259542,1.335878,-0.870229,0,0,0
383.613,-0.170837,-0.020691,-0.983948,-2.167939,1.442748,-0.931298,105.000008,93.600006,-69.900002
383.618,-0.166992,-0.022339,-0.979004,-2.038168,1.648855,-0.961832,0,0,0
383.623,-0.16571,-0.021545,-0.98053,-2.022901,1.801527,-0.961832,104.250008,93.150002,-70.650002
383.628,-0.166626,-0.020569,-0.972717,-2.015267,1.740458,-1.10687,0,0,0
383.633,-0.166626,-0.016907,-0.960266,-1.80916,1.755725,-1.160305,105.000008,93.300003,-69.900002
383.638,-0.165894,-0.014099,-0.94635,-1.549618,1.854962,-1.19084,0,0,0
383.643,-0.164429,-0.009216,-0.931274,-1.145038,1.938931,-1.206107,104.550003,93.75,-70.050003
383.648,-0.168884,-0.015991,-0.940491,-0.694656,2.290076,-1.358779,0,0,0
383.653,-0.182007,-0.036621,-1.003662,-0.503817,2.984733,-1.274809,104.400002,93.600006,-70.200005
383.658,-0.190063,-0.055054,-1.090942,-1.770992,3.80916,-0.450382,0,0,0
383.663,-0.177734,-0.054993,-1.122803,-4.091603,4.160306,0.221374,105.150002,94.350006,-71.550003
383.668,-0.161377,-0.029419,-1.099731,-5.923664,3.389313,0.221374,0,0,0
383.673,-0.153503,0.000488,-1.052734,-6.244275,1.755725,-0.045802,103.800003,93.900002,-71.100006
383.678,-0.149414,0.016663,-1.005737,-4.839694,-0.244275,-0.580153,0,0,0
383.684,-0.152222,0.012329,-0.964111,-2.320611,-1.748092,-1.160305,104.550003,94.050003,-70.950005
383.688,-0.159729,6.1e-05,-0.934753,-0.038168,-2.48855,-1.717557,0,0,0
383.693,-0.165588,-0.017334,-0.922729,1.572519,-2.198473,-2.21374,103.800003,93.900002,-70.200005
383.698,-0.17511,-0.033264,-0.928833,2.038168,-1.152672,-2.251908,0,0,0
383.704,-0.184326,-0.051147,-0.956909,1.167939,0.175573,-1.801527,105.600006,94.5,-70.5
383.708,-0.187317,-0.06134,-0.988892,-0.992366,1.625954,-1.061069,0,0,0
383.713,-0.181946,-0.050903,-1.007263,-3.80916,2.648855,-0.312977,104.100006,93.900002,-70.5
383.718,-0.174011,-0.028625,-1.012329,-6.198473,3,-0.007634,0,0,0
383.723,-0.169067,0.000244,-0.997925,-6.954198,2.870229,0.068702,104.400002,94.200005,-69.600006
383.728,-0.123596,0.048767,-0.803894,-5.633588,2.351145,-0.152672,0,0,0
383.733,-0.103394,0.080688,-0.715576,-0.076336,0.870229,-1.984733,104.400002,93.900002,-69.600006
383.738,-0.241333,-0.067993,-1.187256,4.534351,2.244275,-3.29771,0,0,0
383.743,-0.26709,-0.192017,-1.468567,0.496183,3.442748,0.328244,104.400002,94.5,-69.300003
383.748,-0.138123,-0.047668,-1.016846,-6.656488,4.70229,2.793893,104.400002,93.900002,-70.5
383.753,-0.078796,0.069519,-0.727173,-7.931298,2.206107,0.59542,0,0,0
383.758,-0.159912,0.029541,-0.936707,-3.450382,-0.007634,-2.610687,105.750008,93.450005,-71.25
383.763,-0.242004,-0.058899,-1.225586,-1.931298,-1.129771,-1.641221,0,0,0
383.768,-0.173401,-0.016235,-1.016296,-3.725191,0.374046,1.076336,105.150002,94.050003,-70.950005
383.773,-0.107544,0.043213,-0.794128,-2.374046,1.167939,0.175573,0,0,0
383.778,-0.146057,0.009827,-0.880127,1.412214,-0.007634,-2.473282,104.700005,93.600006,-71.400002
383.783,-0.205505,-0.052124,-1.046631,2.961832,0.053435,-3.351145,0,0,0
383.789,-0.199402,-0.062012,-1.036316,0.984733,1.412214,-1.587786,105.300003,93.300003,-71.100006
383.793,-0.178162,-0.058167,-1.017029,-1.992366,2.854962,-0.167939,0,0,0
383.799,-0.179382,-0.054626,-1.055176,-4.954198,3.351145,0.099237,104.550003,94.050003,-70.950005
383.803,-0.155945,-0.013123,-0.985352,-6.793893,3,0,0,0,0
383.808,-0.133606,0.037537,-0.883728,-5.59542,2.748092,-0.839695,105.000008,93.600006,-70.800003
383.813,-0.156433,0.020264,-0.952637,-2.183206,1.80916,-1.381679,0,0,0
383.819,-0.179565,-0.031982,-1.068359,0.251908,1.48855,-0.870229,104.100006,93.600006,-72
383.824,-0.161133,-0.046265,-1.029663,-0.068702,1.51145,-0.343511,0,0,0
383.829,-0.176514,-0.023193,-0.987,-2.045802,-0.427481,-1.877863,104.850006,94.050003,-70.950005
